province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Hau Giang,2004,4,2004-04-01,44.61487919981335,66.32796577736713,-21.713086577553774,-0.4204339057437717
An Giang,2004,4,2004-04-01,50.69088713328366,87.46122282071849,-36.77033568743483,-0.6431914410328707
Ben Tre,2004,4,2004-04-01,17.97945167327839,32.24252309046432,-14.263071417185927,-0.443846160633482
Dong Thap,2004,4,2004-04-01,34.8472106584476,69.54855556999001,-34.701344911542414,-0.6990504441696977
Kien Giang,2004,4,2004-04-01,66.68145087407349,101.49515551983427,-34.81370464576078,-0.5424906208403517
Long An,2004,4,2004-04-01,35.2723517086231,68.0260545886455,-32.753702880022395,-0.6190137121079415
Tien Giang,2004,4,2004-04-01,23.676434763552344,43.66240195705371,-19.985967193501367,-0.47982413398896034
Soc Trang,2004,5,2004-05-01,251.50723614588367,203.58758004076157,47.9196561051221,0.739053377312582
Tra Vinh,2004,5,2004-05-01,269.4623853384471,178.93207669454517,90.53030864390195,1.329582290814307
Vinh Long,2004,5,2004-05-01,226.1049987447374,171.45889864126076,54.64610010347664,0.8753092654336149
Bac Lieu,2004,5,2004-05-01,248.75125191131832,214.29033670411226,34.46091520720606,0.581939595037503
Ca Mau,2004,5,2004-05-01,242.0335607021952,219.39831942387667,22.635241278318517,0.40071174156985406
Can Tho city,2004,5,2004-05-01,200.60363756528687,169.17037593798062,31.43326162730625,0.5225964173775142
Hau Giang,2004,5,2004-05-01,231.71568007347017,199.48788878030092,32.22779129316925,0.5216406300980716
An Giang,2004,5,2004-05-01,188.50505490861963,160.90414112279777,27.60091378582186,0.5372458035074694
Ben Tre,2004,5,2004-05-01,283.61820918534966,169.13112181825423,114.48708736709543,1.7195176049066254
Dong Thap,2004,5,2004-05-01,197.7119805691166,161.76074551244724,35.95123505666936,0.6547155654824768
Kien Giang,2004,5,2004-05-01,227.6156543477142,212.22213877114578,15.393515576568433,0.2518263792322272
Long An,2004,5,2004-05-01,251.87863526445983,195.1458391578119,56.732796106647925,0.8791492762944378
Tien Giang,2004,5,2004-05-01,259.75670741354213,178.49848027392758,81.25822713961455,1.2557465234531016
Soc Trang,2004,6,2004-06-01,182.7438185057002,234.06989298302094,-51.32607447732073,-0.8779762610055282
Tra Vinh,2004,6,2004-06-01,153.71969591018353,205.79212890469398,-52.07243299451045,-0.9369680510229739
Vinh Long,2004,6,2004-06-01,147.11410413633882,202.49160170633658,-55.37749756999776,-1.0060522478107399
Bac Lieu,2004,6,2004-06-01,214.8043450221049,259.12481464462087,-44.32046962251596,-0.6693617794462425
Ca Mau,2004,6,2004-06-01,228.6677625014647,276.64667457639223,-47.978912074927536,-0.6526593903876973
Can Tho city,2004,6,2004-06-01,163.2723546681551,196.5063853270772,-33.23403065892211,-0.6421330333935603
Hau Giang,2004,6,2004-06-01,197.4043996677687,231.3476831213636,-33.94328345359489,-0.5572768213706788
An Giang,2004,6,2004-06-01,134.8309836889198,164.48686055884076,-29.655876869920974,-0.7659657543900856
Ben Tre,2004,6,2004-06-01,132.51428353116873,189.30016608088818,-56.785882549719446,-1.0269274484529711
Dong Thap,2004,6,2004-06-01,136.78447080709606,164.0048602299634,-27.220389422867356,-0.6273356448358836
Kien Giang,2004,6,2004-06-01,217.0208548082091,254.65169074579228,-37.630835937583186,-0.6599921946117782
Long An,2004,6,2004-06-01,152.30159804178362,198.65714875739437,-46.35555071561075,-0.8468550702873755
Tien Giang,2004,6,2004-06-01,134.38088934257334,187.59233333113949,-53.211443988566145,-0.9777169220369464
Soc Trang,2004,7,2004-07-01,304.51458184074056,260.21860368430214,44.29597815643842,0.6326754254488142
Tra Vinh,2004,7,2004-07-01,243.5931555651334,216.16622208454055,27.42693348059285,0.4801888984274337
Vinh Long,2004,7,2004-07-01,255.9844452543524,228.0355210358104,27.948924218542004,0.5169802365697171
